index, Source Airport IDs, Destination Airport ID
606,3370,3395
607,3370,2244
608,3375,4380
609,3375,3393
610,3375,3395
611,3375,3386
612,3375,3400
613,3375,3382
614,3375,3399
615,4380,3375
616,4380,3388
617,4380,4108
618,4380,3368
619,3393,3370
620,3393,3375
621,3393,3371
622,3393,3395
623,3393,4109
624,3393,3404
625,3393,6353
626,3393,4120
627,3393,3386
628,3393,3179
629,3393,4085
630,3393,3384
631,3393,3382
632,3393,3378
633,3393,4033
634,3393,4097
635,3393,3387
636,3393,3388
637,3393,3373
638,3393,3364
639,3393,3406
640,3393,6435
641,3393,4302
642,3393,3361
643,3393,4030
644,3393,3374
645,3393,4108
646,3393,2275
647,3393,3368
648,3393,3369
649,3393,3399
650,3393,3376
651,3393,6390
652,3393,3379
653,3393,6366
654,3393,6361
655,3393,6357
656,3371,3393
657,3371,3395
658,3371,3385
659,3371,3382
660,3371,4144
661,3371,6392
662,3371,3383
663,3395,3370
664,3395,3375
665,3395,3393
666,3395,3371
667,3395,9310
668,3395,6434
669,3395,4120
670,3395,8407
671,3395,6345
672,3395,3389
673,3395,3386
674,3395,3077
675,3395,3179
676,3395,3930
677,3395,4085
678,3395,3381
679,3395,8781
680,3395,4301
681,3395,3384
682,3395,3382
683,3395,6379
684,3395,3394
685,3395,3378
686,3395,4033
687,3395,6376
688,3395,4097
689,3395,6402
690,3395,3339
691,3395,3388
692,3395,3373
693,3395,3364
694,3395,3406
695,3395,6435
696,3395,4144
697,3395,6347
698,3395,4030
699,3395,3374
700,3395,3390
701,3395,4108
702,3395,2275
703,3395,3368
704,3395,3369
705,3395,3399
